Lingua	Titolo	Anno	Genere	Link	Formato	Descrizione	Locandina	Durata	Info	Lingua	Sezione
Italiano	Come foglie al vento	2021	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom6/podcastcdn/teche_root/KIDS_TECHE_HD/B5bn53Mldr0Lxe8kfYdZaQeeqqEEqualeeqqEEqual_,1200,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEdPbcdpcBbbdAcNbNc2cecqaNbaaHaXd.-bJfqac-c0-BktxwGu&aifp=V001	m3u8	Riccardo Calimani, scrittore e storico, durante una passeggiata nel ghetto di Venezia, si imbatte in due adolescenti cui racconta la storia dei propri genitori in un viaggio temporale attraverso gli anni del fascismo e della Shoah. I due ragazzi in gita in laguna ascoltano oggi quanto vissuto da due giovanissimi che, molti anni prima, per aver salva la vita, furono costretti a fuggire da Venezia, come foglie al vento	https://www.raiplay.it/cropgd/300x400/dl/img/2022/01/14/1642183486663_come-foglie-al-vento_1536x2048_logo.jpg	11m		Italiano	Kids
Italiano	Conni & Co	2016	Famiglia	https://vod3-rai-it.akamaized.net/podcastcdn/teche_root/PLAYRAI_TECHE_CINEMA_HD_2/9883211_,1200,1800,2400/playlist.m3u8?auth=daEaYaNardyc6dRdac.bScebgbhcvdVdddM-bJaP11-c0-AjAuyHr&aifp=V001	m3u8	Per la dodicenne Conni, costretta a cambiare scuola, il nuovo anno inizia davvero male: presa di mira da coetanee dedite ad atti di bullismo e separata dal suo adorato cane, deve adattarsi a nuovi compagni e nuove abitudini. Come se non bastasse, si scontra subito con il preside Möller, che rende la vita impossibile agli studenti e maltratta gli animali.	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/15/1563205820850_1536x2048logo.JPG	1h41m		Italiano	Kids
Italiano	Conni & Co 2 - Il segreto del T-Rex	2017	Famiglia	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/ostr9/podcastcdn/junior/Rai_Gulp/Conni_and_co/12358616_,800,1800,2400/playlist.m3u8?auth=daEa9aob4cOblaQbLawb4bnavcecgddbWcm-bJaP2I-c0-BjvvxGn&aifp=V001	m3u8	Conni ed i suoi amici passano l'estate su un'isola in mezzo al lago di Neustadt. Il sindaco Moller decide di farci costruire un enorme hotel, ma i ragazzi trovano sull'isola un osso di dinosauro	https://www.raiplay.it/cropgd/300x400/dl/img/2020/01/03/1578046584246_1536x2048_logo.jpg	1h32m		Italiano	Kids
Italiano	Cuccioli - Il codice di Marco Polo	2010	Animazione - Fantastico	https://vod8-rai-it.akamaized.net/podcastcdn/raicinema/I_film_della_settimana/10235021_,800,1800/playlist.m3u8?auth=daEdxbkaIdydMaxbrdyaSb.cRbHaabEcxch-bJfqXT-c0-DkruvHr&aifp=V001	m3u8	Maga Cornacchia è decisa a distruggere Venezia: ha infatti trovato sull'Himalaya il Palazzo della Magia, il luogo che contiene tutte le magie inventate dai Maghi orientali negli ultimi cinquemila anni, e vuole usarle per prosciugare la laguna. Esiste un solo modo per fermarla: i sei impavidi Cuccioli dovranno ritrovare il Codice di Marco Polo che contiene le istruzioni per accedere al magico Palazzo di Venezia...	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/09/1562684905015_il-codice-di-marco-polo1536x2048.jpg.jpg	1h31m		Italiano	Kids
Italiano	Cuccioli - Il paese del vento	2014	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/Italy/podcastcdn/junior/Cuccioli_in_festa/Cuccioli_geoprotetta/10267775_,800,1800,.mp4.csmil/playlist.m3u8?auth=daEajcAacc4asbhccahdacha5btasaEa2ae-bJfqYJ-c0-JlxutGt&aifp=V001	m3u8	I Cuccioli arrivano nel Paese del Vento: il paese funziona grazie ad una grande quantità di energia eolica ricavata da una girandola. Maga Cornacchia però vuole vendicarsi dei Cuccioli ed impossessarsi della Girandola per controllare il paese...	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/09/1562685647294_il-paese-del-vento1536x2048.jpg.jpg	1h15m		Italiano	Kids
Italiano	Don Bosco	1988	Famiglia	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom7/podcastcdn/teche_root/playrai_teche/5591932_,1200,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEcec1bDbtbVcBaybVdMbFacdPdwaidQc8-bJaZ2w-c0-EluvAFw&aifp=V001	m3u8	Leandro Castellani ripercorre in questa pellicola la vita di Don Bosco, dedicata in toto al tentativo di dare ai giovani di strada la possibilità di affrancarsi dalla propria situazione e di guadagnarsi un futuro migliore.	https://www.raiplay.it/cropgd/300x400/dl/img/2020/08/31/1598871214668_1536x2048_logo.jpg	1h49m		Italiano	Kids
Italiano	Foxter & Max	2019	Famiglia	https://vod1-rai-it.akamaized.net/podcastcdn/teche_root/KIDS_TECHE_HD_multiaudio/avQIKskssSlash91AjTxqrbu61mAeeqqEEqualeeqqEEqual_,1200,1800,2400/playlist.m3u8?auth=daEdybucOdCcSc0cLbldwbSdycncocPdkdT-bJa5WB-c0-EkrwrHv&aifp=V001	m3u8	Max è un ragazzino timido e introverso con un grande sogno nel cassetto: disegnare fumetti. La sua creazione preferita è un cane robot che usa i suoi superpoteri per combattere le ingiustizie. Che succederebbe se il suo eroe diventasse reale?	https://www.raiplay.it/cropgd/300x400/dl/img/2022/03/23/1648038091424_foxter-and-max_1536x2048_logo.jpg	1h26m		Italiano	Kids
Italiano	Francesco (Film Animazione)	2020	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom7/podcastcdn/teche_root/KIDS_TECHE_HD/13178037_,1200,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEciavcodic0aPd3d5d6aZaxdNdObTdybB-bJfHGV-c0-IjswvHv&aifp=V001	m3u8	È il tempo della V Crociata, quando Francesco di Assisi parte alla volta di Damietta per portare un messaggio di pace in una terra devastata da una feroce guerra combattuta in nome della salvaguardia della fede. Le uniche armi che il giovane possiede, e che esercita con determinazione, sono la convinzione del suo animo e la forza del dialogo. Dopo un intenso ed animato scambio di opinioni, spesso contrastanti, il frate ed il sultano musulmano al-Malik riusciranno a calarsi l'uno nei panni dell'altro. Qualche anno dopo verrà infatti raggiunto l'accordo di pace tra il Sultano e l'imperatore Federico II di Svevia, accordo che storicamente rappresentò una parentesi di pace in secoli di	https://www.raiplay.it/cropgd/300x400/dl/img/2020/09/28/1601293230655_francesco-film-animazione_1536x2048_logo.jpg	30m		Italiano	Kids
Italiano	Fuga dal pianeta terra	2016	Animazione - Fantastico	https://vod8-rai-it.akamaized.net/podcastcdn/raicinema/I_film_della_settimana/12089250_,800,1800,2400/playlist.m3u8?auth=daEdrdVahaQdidab_arbwbHc7dtalbydDch-bJa6dc-c0-HmyuyEp&aifp=V001	m3u8	Il più famoso viaggiatore spaziale del Pianeta Baab, Scorch Supernova, è ritenuto un eroe: lui fa di tutto per meritare questo titolo. A sostenerne le prodezze, nella stazione di comando, lavora il fratello Gary. Quando Scorch Supernova deciderà di partire in direzione del Pianeta Oscuro, Gary tenterà di fermarlo, considerando l'operazione troppo pericolosa. Ma stoppare Scorch Supernova è impresa ardua... e l'avventura avrà presto inizio	https://www.raiplay.it/cropgd/300x400/dl/img/2019/12/30/1577701420989_1536x2048_logo.jpg	1h20m		Italiano	Kids
Italiano	Gormiti - La chiamata dei lord	2020	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom7/podcastcdn/teche_root/KIDS_TECHE_HD/13582134_,1200,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEbdcqcdaPaMbFdObPcRchcxaVb0dYd5dV-bJbiTA-c0-DlxwuEo&aifp=V001	m3u8	Riviviamo le migliori avventure dei Gormiti, insieme ai mitici Jonny & Giada, direttamente dal Gormiti Show! Le scene più belle della serie animata ci condurranno alla visione di un esclusivo episodio della terza stagione del cartone, mai visto prima! Le battaglie più emozionanti, le gag più divertenti e tante risate con Jonny e Giada! Pronti per una nuova, gormitica avventura?	https://www.raiplay.it/cropgd/300x400/dl/img/2020/12/10/1607626844006_Gormiti-La-chiamata-dei-lord_1536x2048_logo.jpg	1h24m		Italiano	Kids
Italiano	Gruffalò e la sua piccolina	2011	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/ostr8/podcastcdn/junior/Rai_Yoyo/Gruffalo/8094559_,800,1800/playlist.m3u8?auth=daEb3dLbaaDakbOcJdid7b7dccXbLdeb6aZ-bJfW3V-c0-FmyvrEw&aifp=V001	m3u8	Due piccoli scoiattoli dopo aver trovato delle impronte impresse nella neve chiedono alla madre se appartengono al Gruffalo. La mamma scoiattolo allora gli racconta la storia della cucciola di Gruffalo, una creaturina molto curiosa e coraggiosa, che vuole sempre andare a giocare nella foresta e del papà Gruffalo che per impedirglielo, inventa la storia del Grande Topo Tremendo, un essere mostruoso che vive proprio nel folto della foresta. Una notte, la cucciola esce silenziosamente dalla tana e si avventura alla ricerca di questo essere pauroso...	https://www.raiplay.it/cropgd/300x400/dl/img/2019/07/09/1562686024683_Gruffalo-e-la-sua-piccolina1536x2048.jpg.jpg	27m		Italiano	Kids
Italiano	Hanukkah - La festa delle luci	2019	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom7/podcastcdn/teche_root/KIDS_TECHE_HD/13597300_,1200,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEcEcndnbjdbcycddZa6cWa0dPdWa_dBaA-bJf2uN-c0-AluxuFw&aifp=V001	m3u8	Nella Roma del dopoguerra, tra la comunità ebraica che vuole ricominciare a vivere liberamente dopo anni di persecuzioni razziste, una giovane pasticcera di nome Anna lotta per salvare la bottega di famiglia dalle grinfie di Antioco, un uomo meschino e spietato. In un'epoca in cui manca il necessario, alla vigilia della festa di Hanukkah, l'amicizia e la solidarietà faranno la differenza...	https://www.raiplay.it/cropgd/300x400/dl/img/2019/12/17/1576604761914_Hannoukah_1536x2048_logo.jpg	16m		Italiano	Kids
